benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scrabble,7323442070,12436731458,1748993848925
scrabble,4177216336,20138510056,1748993848925
scrabble,3953162663,24627366457,1748993848925
scrabble,4087250800,28893454326,1748993848925
scrabble,4050567765,33283462633,1748993848925
scrabble,4083837573,37630955138,1748993848925
scrabble,4002844192,42025854669,1748993848925
scrabble,4099573401,46342147939,1748993848925
scrabble,3882319036,50737585102,1748993848925
scrabble,3975178040,54913894805,1748993848925
scrabble,3921826752,59184353862,1748993848925
scrabble,4003183871,63401717415,1748993848925
scrabble,3880906251,67698966835,1748993848925
scrabble,3994893455,71879113528,1748993848925
scrabble,3841692634,76176239687,1748993848925
scrabble,3879813897,80326249103,1748993848925
scrabble,3975057227,84500229297,1748993848925
scrabble,4028343267,88768185491,1748993848925
scrabble,3979382263,93093618180,1748993848925
scrabble,3767351211,97372645782,1748993848925
scrabble,4060552505,101445447321,1748993848925
scrabble,3906742839,105806057278,1748993848925
scrabble,3824413183,110012152001,1748993848925
scrabble,3857358418,114147031712,1748993848925
scrabble,3855675871,118305242523,1748993848925
scrabble,3965985127,122469861366,1748993848925
scrabble,3858721160,126731886138,1748993848925
scrabble,3751917215,130881260652,1748993848925
scrabble,3939083310,134947089247,1748993848925
scrabble,3873786873,139192828563,1748993848925
scrabble,3991907614,143386798093,1748993848925
scrabble,3939428909,147679247562,1748993848925
scrabble,4029268295,151915637658,1748993848925
scrabble,3872450522,156242844525,1748993848925
scrabble,3953071714,160407678825,1748993848925
scrabble,3829901165,164657613194,1748993848925
scrabble,4055092386,168787417401,1748993848925
scrabble,3940677398,173153915685,1748993848925
scrabble,3970504561,177388523896,1748993848925
scrabble,3966170883,181657769195,1748993848925
scrabble,3880658893,185914363301,1748993848925
scrabble,3880183763,190096277758,1748993848925
scrabble,3811333173,194282247002,1748993848925
scrabble,3986712943,198395353063,1748993848925
scrabble,3877867150,202677534005,1748993848925
scrabble,3971831016,206861254402,1748993848925
scrabble,3864365845,211145513583,1748993848925
scrabble,3963058514,215315266771,1748993848925
scrabble,3964698929,219575781997,1748993848925
scrabble,3970897397,223832690356,1748993848925
scrabble,3930396448,228119479453,1748993848925
scrabble,3839688477,232345716471,1748993848925
scrabble,4054056338,236501011122,1748993848925
scrabble,3865987126,240858265247,1748993848925
scrabble,4001938543,245018505553,1748993848925
scrabble,3864768926,249316704848,1748993848925
scrabble,3921905858,253474140696,1748993848925
scrabble,3939819614,257705352806,1748993848925
scrabble,3876270133,261934748638,1748993848925
scrabble,3921426237,266118093003,1748993848925
scrabble,3859976596,270338102541,1748993848925
scrabble,4059223855,274517339682,1748993848925
scrabble,3905961234,278874131177,1748993848925
