benchmark,duration_ns,uptime_ns,vm_start_unix_ms
fj-kmeans,7070894316,2117194726,1749213106376
fj-kmeans,6671860267,9325450902,1749213106376
fj-kmeans,6762015557,16093825284,1749213106376
fj-kmeans,6782605537,22952044553,1749213106376
fj-kmeans,6787048619,29831245825,1749213106376
fj-kmeans,7207374356,36718448742,1749213106376
fj-kmeans,8565255613,44027136116,1749213106376
fj-kmeans,9098898244,52731986677,1749213106376
fj-kmeans,8542828327,61957881408,1749213106376
fj-kmeans,9480516976,70615982039,1749213106376
fj-kmeans,9432606420,80227329829,1749213106376
fj-kmeans,8469329234,89798006238,1749213106376
fj-kmeans,8407847519,98377849612,1749213106376
fj-kmeans,9122517786,106904883171,1749213106376
fj-kmeans,10534384215,116161929612,1749213106376
fj-kmeans,9957436400,126824920388,1749213106376
fj-kmeans,9121298589,136913170145,1749213106376
fj-kmeans,9204184335,146160781998,1749213106376
fj-kmeans,9966481481,155491430805,1749213106376
fj-kmeans,9351962834,165584248883,1749213106376
fj-kmeans,9206116803,175062438609,1749213106376
fj-kmeans,9774323508,184395050635,1749213106376
fj-kmeans,9414687341,194298781107,1749213106376
fj-kmeans,9215268140,203842181994,1749213106376
fj-kmeans,9543078895,213184336251,1749213106376
fj-kmeans,9270975319,222854753806,1749213106376
fj-kmeans,10856576351,232252874412,1749213106376
fj-kmeans,9271562210,243236199164,1749213106376
fj-kmeans,9891234924,252640869465,1749213106376
fj-kmeans,9179976385,262664105156,1749213106376
fj-kmeans,10199345517,271971902616,1749213106376
fj-kmeans,9053700871,282297698608,1749213106376
fj-kmeans,10794860938,291477397887,1749213106376
fj-kmeans,9173400396,302399640064,1749213106376
fj-kmeans,9321877900,311707107927,1749213106376
fj-kmeans,9587514068,321160127095,1749213106376
fj-kmeans,9379355194,330883103801,1749213106376
fj-kmeans,10132141473,340389825931,1749213106376
fj-kmeans,9182777669,350652410417,1749213106376
fj-kmeans,9445382718,359961725940,1749213106376
